keyword,position,link_from,link_to
"life insurance",1,www.forbes.com/sites/investopedia/2012/02/23/5-estate-planning-tips/,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance",1,assets.businessinsider.com/how-to-tell-whether-you-should-prioritize-paying-down-your-mortgage-or-investing-2017-2,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance",1,barbarafriedbergpersonalfinance.com/type-of-insurance-do-need/,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance",1,barbarafriedbergpersonalfinance.com/do-need-life-insurance/,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance policy",1,www.forbes.com/sites/investopedia/2012/02/23/5-estate-planning-tips/,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance policy",1,assets.businessinsider.com/how-to-tell-whether-you-should-prioritize-paying-down-your-mortgage-or-investing-2017-2,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance policy",1,barbarafriedbergpersonalfinance.com/type-of-insurance-do-need/,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance policy",1,barbarafriedbergpersonalfinance.com/do-need-life-insurance/,www.investopedia.com/terms/l/lifeinsurance.asp
"types of life insurance",6,www.forbes.com/sites/investopedia/2012/02/23/5-estate-planning-tips/,www.investopedia.com/terms/l/lifeinsurance.asp
"types of life insurance",6,assets.businessinsider.com/how-to-tell-whether-you-should-prioritize-paying-down-your-mortgage-or-investing-2017-2,www.investopedia.com/terms/l/lifeinsurance.asp
"types of life insurance",6,barbarafriedbergpersonalfinance.com/type-of-insurance-do-need/,www.investopedia.com/terms/l/lifeinsurance.asp
"types of life insurance",6,barbarafriedbergpersonalfinance.com/do-need-life-insurance/,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance definition",1,www.forbes.com/sites/investopedia/2012/02/23/5-estate-planning-tips/,www.investopedia.com/terms/l/lifeinsurance.asp
"life insurance definition",1,assets.businessinsider.com/how-to-tell-whether-you-should-prioritize-paying-down-your-mortgage-or-investing-2017-2,www.investopedia.com/terms/l/lifeinsurance.asp
