Publisher Name,URL,Brand Search Volume,Domain Type,Classifier-A1
Totally Money,totallymoney.com/,"90,500",Content Focused (CF),Influencer Publication (IP)
Doctor of Credit,doctorofcredit.com/,"60,500",Content Focused (CF),Influencer Publication (IP)
SmartAsset,smartasset.com/,"33,100",Content Focused (CF),Influencer Publication (IP)
The Budget Mom,thebudgetmom.com/,"18,100",Content Focused (CF),Influencer Publication (IP)
Wall Street Oasis,wallstreetoasis.com/,"14,800",Content Focused (CF),Influencer Publication (IP)
Rachel Cruze,rachelcruze.com/,"14,800",Content Focused (CF),Influencer Publication (IP)
Money Saving Mom,moneysavingmom.com/,"12,100",Content Focused (CF),Influencer Publication (IP)
Get Out of Debt,getoutofdebt.org/,"12,100",Content Focused (CF),Influencer Publication (IP)
Bank Mobile Vibe,bankmobilevibe.com/,"12,100",Content Focused (CF),Influencer Publication (IP)
The Penny Hoarder,thepennyhoarder.com/,"9,900",Content Focused (CF),Influencer Publication (IP)
Deposit Accounts,depositaccounts.com/,"8,100",Content Focused (CF),Influencer Publication (IP)
The Financial Diet,thefinancialdiet.com/,"6,600",Content Focused (CF),Influencer Publication (IP)
Frugalwoods,frugalwoods.com/,"6,600",Content Focused (CF),Influencer Publication (IP)
Mad Fientist,madfientist.com/,"5,400",Content Focused (CF),Influencer Publication (IP)
Get Rich Slowly,getrichslowly.org/,"4,400",Content Focused (CF),Influencer Publication (IP)
Calculated Risk,calculatedriskblog.com/,"4,400",Content Focused (CF),Influencer Publication (IP)
The Simple Dollar,thesimpledollar.com/,"3,600",Content Focused (CF),Influencer Publication (IP)
Bargains To Bounty,bargainstobounty.com/,"3,600",Content Focused (CF),Influencer Publication (IP)
Money Under 30,moneyunder30.com/,"2,900",Content Focused (CF),Influencer Publication (IP)
Money Talks News,moneytalksnews.com/,"2,900",Content Focused (CF),Influencer Publication (IP)
Early Retirement Extreme,earlyretirementextreme.com/,"2,900",Content Focused (CF),Influencer Publication (IP)
Retire By 40,retireby40.org/,"2,900",Content Focused (CF),Influencer Publication (IP)
Physician on FIRE,physicianonfire.com/,"2,900",Content Focused (CF),Influencer Publication (IP)
Jean Chatzky,jeanchatzky.com/,"2,900",Content Focused (CF),Influencer Publication (IP)
Making Sense of Cents,makingsenseofcents.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
Afford Anything,affordanything.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
Side Hustle Nation,sidehustlenation.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
Millennial Money,millennialmoney.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
Rockstar Finance,rockstarfinance.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
ESI Money,esimoney.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
Go Curry Cracker!,gocurrycracker.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
Root of Good,rootofgood.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
Millennial Revolution,millennial-revolution.com/,"2,400",Content Focused (CF),Influencer Publication (IP)
Andrew Chen,andrewchen.co/,"1,900",Content Focused (CF),Influencer Publication (IP)
Budgets Are Sexy,budgetsaresexy.com/,"1,900",Content Focused (CF),Influencer Publication (IP)
Kitces,kitces.com/,"1,900",Content Focused (CF),Influencer Publication (IP)
Listen Money Matters,listenmoneymatters.com/,"1,900",Content Focused (CF),Influencer Publication (IP)
Cait Flanders,caitflanders.com/,"1,900",Content Focused (CF),Influencer Publication (IP)
Broke Millennial,brokemillennial.com/,"1,900",Content Focused (CF),Influencer Publication (IP)
Sound Mind Investing,soundmindinvesting.com/,"1,900",Content Focused (CF),Influencer Publication (IP)
The White Coat Investor,whitecoatinvestor.com/,"1,600",Content Focused (CF),Influencer Publication (IP)
The Frugal Girl,thefrugalgirl.com/,"1,600",Content Focused (CF),Influencer Publication (IP)
Abnormal Returns,abnormalreturns.com/,"1,600",Content Focused (CF),Influencer Publication (IP)
Jlcollinsnh,jlcollinsnh.com/,"1,600",Content Focused (CF),Influencer Publication (IP)
Farnoosh Torabi,farnoosh.tv/,"1,600",Content Focused (CF),Influencer Publication (IP)
Our Next Life,ournextlife.com/,"1,600",Content Focused (CF),Influencer Publication (IP)
Clever Girl Finance,clevergirlfinance.com/,"1,600",Content Focused (CF),Influencer Publication (IP)
Free Financial Advisor,thefreefinancialadvisor.com/,"1,600",Content Focused (CF),Influencer Publication (IP)
Living Well Spending Less,livingwellspendingless.com/,"1,300",Content Focused (CF),Influencer Publication (IP)
Stacking Benjamins,stackingbenjamins.com/,"1,300",Content Focused (CF),Influencer Publication (IP)
Can I Retire Yet?,caniretireyet.com/,"1,300",Content Focused (CF),Influencer Publication (IP)
Early Retirement Now,earlyretirementnow.com/,"1,300",Content Focused (CF),Influencer Publication (IP)
