Publisher Name,URL,Brand Search Volume,Domain Type,Classifier-A1
KSL,ksl.com/,"823,000",Content Focused (CF),Local Publication (LP)
Star Tribune,startribune.com/,"550,000",Content Focused (CF),Local Publication (LP)
Chicago Tribune,chicagotribune.com/,"368,000",Content Focused (CF),Local Publication (LP)
9 News,9news.com/,"368,000",Content Focused (CF),Local Publication (LP)
Daily Wire,dailywire.com/,"368,000",Content Focused (CF),Local Publication (LP)
Michigan,mlive.com/,"368,000",Content Focused (CF),Local Publication (LP)
Channel 3000,channel3000.com,"368,000",Content Focused (CF),Local Publication (LP)
AJC,ajc.com/,"301,000",Content Focused (CF),Local Publication (LP)
Cincinnati,cincinnati.com/,"301,000",Content Focused (CF),Local Publication (LP)
KARE 11,kare11.com/,"301,000",Content Focused (CF),Local Publication (LP)
WMUR,wmur.com/,"301,000",Content Focused (CF),Local Publication (LP)
News 12,brooklyn.news12.com/,"246,000",Content Focused (CF),Local Publication (LP)
Tucson,tucson.com/,"246,000",Content Focused (CF),Local Publication (LP)
WTOP,wtop.com/,"246,000",Content Focused (CF),Local Publication (LP)
Arkansas,arkansas.com/,"246,000",Content Focused (CF),Local Publication (LP)
Telegram,telegram.com/,"246,000",Content Focused (CF),Local Publication (LP)
Hawaii News Now,hawaiinewsnow.com/,"201,000",Content Focused (CF),Local Publication (LP)
KOMO News,komonews.com/,"201,000",Content Focused (CF),Local Publication (LP)
KHOU,khou.com/,"201,000",Content Focused (CF),Local Publication (LP)
Silive,silive.com/,"201,000",Content Focused (CF),Local Publication (LP)
Syracuse,syracuse.com/,"201,000",Content Focused (CF),Local Publication (LP)
WFAA,wfaa.com/,"201,000",Content Focused (CF),Local Publication (LP)
WPXI,wpxi.com/,"201,000",Content Focused (CF),Local Publication (LP)
Fox 4 news,fox4news.com/,"165,000",Content Focused (CF),Local Publication (LP)
Keloland,keloland.com/,"165,000",Content Focused (CF),Local Publication (LP)
Click On Detroit,clickondetroit.com/,"165,000",Content Focused (CF),Local Publication (LP)
Delaware Online,delawareonline.com/,"165,000",Content Focused (CF),Local Publication (LP)
Houston Chronicle,houstonchronicle.com/,"165,000",Content Focused (CF),Local Publication (LP)
KCRG,kcrg.com/,"165,000",Content Focused (CF),Local Publication (LP)
King 5,king5.com/,"165,000",Content Focused (CF),Local Publication (LP)
KSAT,ksat.com/,"165,000",Content Focused (CF),Local Publication (LP)
KSDK,ksdk.com/,"165,000",Content Focused (CF),Local Publication (LP)
KY3,ky3.com/,"165,000",Content Focused (CF),Local Publication (LP)
LeHigh Valley Live,lehighvalleylive.com/,"165,000",Content Focused (CF),Local Publication (LP)
MRT,mrt.com/,"165,000",Content Focused (CF),Local Publication (LP)
WCTV,wctv.tv/,"165,000",Content Focused (CF),Local Publication (LP)
WCVB,wcvb.com/,"165,000",Content Focused (CF),Local Publication (LP)
WHIO,whio.com/,"165,000",Content Focused (CF),Local Publication (LP)
WKYT,wkyt.com/,"165,000",Content Focused (CF),Local Publication (LP)
Post Gazette,post-gazette.com/,"135,000",Content Focused (CF),Local Publication (LP)
Sun Sentinel,sun-sentinel.com/,"135,000",Content Focused (CF),Local Publication (LP)
WGAL,wgal.com/,"135,000",Content Focused (CF),Local Publication (LP)
Fox 59,fox59.com/,"135,000",Content Focused (CF),Local Publication (LP)
Fox 8,fox8.com/,"135,000",Content Focused (CF),Local Publication (LP)
WSVN,wsvn.com/,"135,000",Content Focused (CF),Local Publication (LP)
AL,al.com/,"135,000",Content Focused (CF),Local Publication (LP)
CT Post,ctpost.com/,"135,000",Content Focused (CF),Local Publication (LP)
Dallas News,dallasnews.com/,"135,000",Content Focused (CF),Local Publication (LP)
KTVB,ktvb.com/,"135,000",Content Focused (CF),Local Publication (LP)
KXAN,kxan.com/,"135,000",Content Focused (CF),Local Publication (LP)
Miami Herald,miamiherald.com/,"135,000",Content Focused (CF),Local Publication (LP)
Palm Beach Post,palmbeachpost.com/,"135,000",Content Focused (CF),Local Publication (LP)
Times Union,timesunion.com/,"135,000",Content Focused (CF),Local Publication (LP)
WIVB,wivb.com/,"135,000",Content Focused (CF),Local Publication (LP)
WKBN,wkbn.com/,"135,000",Content Focused (CF),Local Publication (LP)
WTNH,wtnh.com/,"135,000",Content Focused (CF),Local Publication (LP)
WWLP,wwlp.com/,"135,000",Content Focused (CF),Local Publication (LP)
WITN,witn.com/,"110,000",Content Focused (CF),Local Publication (LP)
ABC 7 News,abc7news.com/,"110,000",Content Focused (CF),Local Publication (LP)
Billings Gazette,billingsgazette.com/,"110,000",Content Focused (CF),Local Publication (LP)
BBVA,bbva.com/en/,"110,000",Content Focused (CF),Local Publication (LP)
Dayton Daily News,daytondailynews.com/,"110,000",Content Focused (CF),Local Publication (LP)
Des Moines Register,desmoinesregister.com/,"110,000",Content Focused (CF),Local Publication (LP)
Jacksonville,jacksonville.com/,"110,000",Content Focused (CF),Local Publication (LP)
NWI Times,nwitimes.com/,"110,000",Content Focused (CF),Local Publication (LP)
WBIR,wbir.com/,"110,000",Content Focused (CF),Local Publication (LP)
WCPO,wcpo.com/,"110,000",Content Focused (CF),Local Publication (LP)
WGRZ,wgrz.com/,"110,000",Content Focused (CF),Local Publication (LP)
WITN,witn.com/,"110,000",Content Focused (CF),Local Publication (LP)
WLTX,wltx.com/,"110,000",Content Focused (CF),Local Publication (LP)
Grand Forks Herald,grandforksherald.com/,"90,500",Content Focused (CF),Local Publication (LP)
Inforum,inforum.com/,"90,500",Content Focused (CF),Local Publication (LP)
KKTV,kktv.com/,"90,500",Content Focused (CF),Local Publication (LP)
KWWL,kwwl.com/,"90,500",Content Focused (CF),Local Publication (LP)
News 9,news9.com/,"90,500",Content Focused (CF),Local Publication (LP)
Star Advertiser,staradvertiser.com/,"90,500",Content Focused (CF),Local Publication (LP)
WBTV,wbtv.com/,"90,500",Content Focused (CF),Local Publication (LP)
WDRB,wdrb.com/,"90,500",Content Focused (CF),Local Publication (LP)
WHNT,whnt.com/,"90,500",Content Focused (CF),Local Publication (LP)
WLBT,wlbt.com/,"90,500",Content Focused (CF),Local Publication (LP)
KATC,katc.com/,"90,500",Content Focused (CF),Local Publication (LP)
WHNT,whnt.com/,"90,500",Content Focused (CF),Local Publication (LP)
WLOS,wlos.com/,"90,500",Content Focused (CF),Local Publication (LP)
WSET,wset.com/,"90,500",Content Focused (CF),Local Publication (LP)
CBRE,cbre.com/,"90,500",Content Focused (CF),Local Publication (LP)
Charlotte Observer,charlotteobserver.com/,"90,500",Content Focused (CF),Local Publication (LP)
Daily Herald,dailyherald.com/,"90,500",Content Focused (CF),Local Publication (LP)
KPTV,kptv.com/,"90,500",Content Focused (CF),Local Publication (LP)
New Haven Register,nhregister.com/,"90,500",Content Focused (CF),Local Publication (LP)
The Hartford,thehartford.com/,"90,500",Content Focused (CF),Local Publication (LP)
WIBW,wibw.com/,"90,500",Content Focused (CF),Local Publication (LP)
KBTX,kbtx.com/,"74,000",Content Focused (CF),Local Publication (LP)
KTVU,ktvu.com/,"74,000",Content Focused (CF),Local Publication (LP)
WALB,walb.com/,"74,000",Content Focused (CF),Local Publication (LP)
WANE,wane.com/,"74,000",Content Focused (CF),Local Publication (LP)
WECT,wect.com/,"74,000",Content Focused (CF),Local Publication (LP)
WJHL,wjhl.com/,"74,000",Content Focused (CF),Local Publication (LP)
WLOX,wlox.com/,"74,000",Content Focused (CF),Local Publication (LP)
WTOC,wtoc.com/,"74,000",Content Focused (CF),Local Publication (LP)
WWMT,wwmt.com/,"74,000",Content Focused (CF),Local Publication (LP)
Bismarck Tribune,bismarcktribune.com/,"74,000",Content Focused (CF),Local Publication (LP)
KFOR,kfor.com/,"74,000",Content Focused (CF),Local Publication (LP)
Madison,madison.com/,"74,000",Content Focused (CF),Local Publication (LP)
Post Star,poststar.com/,"74,000",Content Focused (CF),Local Publication (LP)
Turn to 10,turnto10.com/,"74,000",Content Focused (CF),Local Publication (LP)
WCYB,wcyb.com/,"74,000",Content Focused (CF),Local Publication (LP)
WREG,wreg.com/,"74,000",Content Focused (CF),Local Publication (LP)
WSBT,wsbt.com/,"74,000",Content Focused (CF),Local Publication (LP)
WWMT,wwmt.com/,"74,000",Content Focused (CF),Local Publication (LP)
Chron,chron.com/,"74,000",Content Focused (CF),Local Publication (LP)
KIRO 7,kiro7.com/,"74,000",Content Focused (CF),Local Publication (LP)
KVUE,kvue.com/,"74,000",Content Focused (CF),Local Publication (LP)
KWCH,kwch.com/,"74,000",Content Focused (CF),Local Publication (LP)
Orlando Sentinel,orlandosentinel.com/,"74,000",Content Focused (CF),Local Publication (LP)
Red Herring,redherring.com/,"74,000",Content Focused (CF),Local Publication (LP)
