Publisher Name,URL,Brand Search Volume,Domain Type,Classifier-A1
CNN,cnn.com/,"20,400,000",Content Focused (CF),Major Publication (MP)
MSN,msn.com/,"13,600,000",Content Focused (CF),Major Publication (MP)
Huffington Post,huffingtonpost.com/,"2,740,000",Content Focused (CF),Major Publication (MP)
Yahoo! News,yahoo.com/,"2,740,000",Content Focused (CF),Major Publication (MP)
People,people.com/,"2,740,000",Content Focused (CF),Major Publication (MP)
USA Today,usatoday.com/,"1,830,000",Content Focused (CF),Major Publication (MP)
CNBC,cnbc.com/,"1,830,000",Content Focused (CF),Major Publication (MP)
NY Post,nypost.com/,"1,830,000",Content Focused (CF),Major Publication (MP)
NBC News,nbc.com/,"1,830,000",Content Focused (CF),Major Publication (MP)
MSNBC,msnbc.com/,"1,830,000",Content Focused (CF),Major Publication (MP)
ABC News,abcnews.com/,"1,830,000",Content Focused (CF),Major Publication (MP)
BBC,bbc.com/,"1,500,000",Content Focused (CF),Major Publication (MP)
BuzzFeed,buzzfeed.com/,"1,500,000",Content Focused (CF),Major Publication (MP)
CBS News,cbs.com/,"1,220,000",Content Focused (CF),Major Publication (MP)
NPR,npr.org/,"823,000",Content Focused (CF),Major Publication (MP)
WebMD,webmd.com/,"823,000",Content Focused (CF),Major Publication (MP)
NY Daily News,nydailynews.com/,"823,000",Content Focused (CF),Major Publication (MP)
Bloomberg,bloomberg.com/,"673,000",Content Focused (CF),Major Publication (MP)
Food Network,foodnetwork.com/,"673,000",Content Focused (CF),Major Publication (MP)
The Guardian,theguardian.com/,"550,000",Content Focused (CF),Major Publication (MP)
Reuters,reuters.com/,"550,000",Content Focused (CF),Major Publication (MP)
Marketplace,marketplace.org/,"550,000",Content Focused (CF),Major Publication (MP)
WSJ,wsj.com/,"450,000",Content Focused (CF),Major Publication (MP)
Slate,slate.com/,"450,000",Content Focused (CF),Major Publication (MP)
Boston,boston.com/,"450,000",Content Focused (CF),Major Publication (MP)
US Magazine,usmagazine.com/,"450,000",Content Focused (CF),Major Publication (MP)
LA Times,latimes.com/,"368,000",Content Focused (CF),Major Publication (MP)
The Atlantic,theatlantic.com/,"368,000",Content Focused (CF),Major Publication (MP)
CNN Money,money.cnn.com/,"368,000",Content Focused (CF),Major Publication (MP)
Chicago Tribune,chicagotribune.com/,"368,000",Content Focused (CF),Major Publication (MP)
Entrepreneur,entrepreneur.com/,"368,000",Content Focused (CF),Major Publication (MP)
Seattle Times,seattletimes.com/,"368,000",Content Focused (CF),Major Publication (MP)
AARP,aarp.org/,"368,000",Content Focused (CF),Major Publication (MP)
Nasdaq,nasdaq.com/,"368,000",Content Focused (CF),Major Publication (MP)
Vox,vox.com/,"301,000",Content Focused (CF),Major Publication (MP)
US News,usnews.com/,"301,000",Content Focused (CF),Major Publication (MP)
Vice,vice.com/,"301,000",Content Focused (CF),Major Publication (MP)
Psychology Today,psychologytoday.com/,"301,000",Content Focused (CF),Major Publication (MP)
Salon,salon.com/,"301,000",Content Focused (CF),Major Publication (MP)
Boston Globe,bostonglobe.com/,"301,000",Content Focused (CF),Major Publication (MP)
Cosmopolitan,cosmopolitan.com/,"301,000",Content Focused (CF),Major Publication (MP)
National Geographic,nationalgeographic.com/,"246,000",Content Focused (CF),Major Publication (MP)
National Review,nationalreview.com/,"246,000",Content Focused (CF),Major Publication (MP)
Bon Appetit,bonappetit.com/,"246,000",Content Focused (CF),Major Publication (MP)
Good Morning America,goodmorningamerica.com/,"246,000",Content Focused (CF),Major Publication (MP)
Boat Trader,boattrader.com/,"246,000",Content Focused (CF),Major Publication (MP)
National Geographic,traveler.nationalgeographic.com/,"246,000",Content Focused (CF),Major Publication (MP)
The New York Times,nytimes.com/,"201,000",Content Focused (CF),Major Publication (MP)
CNET,cnet.com/,"201,000",Content Focused (CF),Major Publication (MP)
Today,today.com/,"201,000",Content Focused (CF),Major Publication (MP)
Martha Stewart,marthastewart.com/,"201,000",Content Focused (CF),Major Publication (MP)
Romper,romper.com/,"201,000",Content Focused (CF),Major Publication (MP)
Business Insider,businessinsider.com/,"165,000",Content Focused (CF),Major Publication (MP)
The Daily Beast,thedailybeast.com/,"165,000",Content Focused (CF),Major Publication (MP)
Shape,shape.com/,"165,000",Content Focused (CF),Major Publication (MP)
Forbes,forbes.com/,"135,000",Content Focused (CF),Major Publication (MP)
The Washington Post,washingtonpost.com/,"135,000",Content Focused (CF),Major Publication (MP)
The Verge,theverge.com/,"135,000",Content Focused (CF),Major Publication (MP)
Vanity Fair,vanityfair.com/,"135,000",Content Focused (CF),Major Publication (MP)
Mother Jones,motherjones.com/,"135,000",Content Focused (CF),Major Publication (MP)
Seeking Alpha,seekingalpha.com/,"135,000",Content Focused (CF),Major Publication (MP)
Fox Business,foxbusiness.com/,"135,000",Content Focused (CF),Major Publication (MP)
Men’s Health,menshealth.com/,"135,000",Content Focused (CF),Major Publication (MP)
Car and Driver,caranddriver.com/,"135,000",Content Focused (CF),Major Publication (MP)
Essence,essence.com/,"135,000",Content Focused (CF),Major Publication (MP)
Ebony,ebony.com/,"135,000",Content Focused (CF),Major Publication (MP)
Jezebel,https://jezebel.com/,"135,000",Content Focused (CF),Major Publication (MP)
Gizmodo,gizmodo.com/,"110,000",Content Focused (CF),Major Publication (MP)
Quartz,qz.com/,"110,000",Content Focused (CF),Major Publication (MP)
Philly,philly.com/,"110,000",Content Focused (CF),Major Publication (MP)
Associated Press,apnews.com/,"110,000",Content Focused (CF),Major Publication (MP)
Refinery29,refinery29.com/,"110,000",Content Focused (CF),Major Publication (MP)
GQ,gq.com/,"110,000",Content Focused (CF),Major Publication (MP)
More,more.com/,"110,000",Content Focused (CF),Major Publication (MP)
Porch,porch.com/,"110,000",Content Focused (CF),Major Publication (MP)
Time Magazine,time.com/,"90,500",Content Focused (CF),Major Publication (MP)
The Economist,economist.com/,"90,500",Content Focused (CF),Major Publication (MP)
Engadget,engadget.com/,"90,500",Content Focused (CF),Major Publication (MP)
Newsweek,newsweek.com,"90,500",Content Focused (CF),Major Publication (MP)
Investopedia,investopedia.com/,"90,500",Content Focused (CF),Major Publication (MP)
Esquire,esquire.com/,"90,500",Content Focused (CF),Major Publication (MP)
Women’s Health,womenshealthmag.com/,"90,500",Content Focused (CF),Major Publication (MP)
Seventeen,seventeen.com/,"90,500",Content Focused (CF),Major Publication (MP)
TechCrunch,techcrunch.com/,"74,000",Content Focused (CF),Major Publication (MP)
Chron,chron.com/,"74,000",Content Focused (CF),Major Publication (MP)
Taste of Home,tasteofhome.com/,"74,000",Content Focused (CF),Major Publication (MP)
Dwell,dwell.com/,"74,000",Content Focused (CF),Major Publication (MP)
Hemmings,hemmings.com/,"74,000",Content Focused (CF),Major Publication (MP)
Wired,wired.com/,"60,500",Content Focused (CF),Major Publication (MP)
Financial Times,ft.com/,"60,500",Content Focused (CF),Major Publication (MP)
Adage,adage.com/,"60,500",Content Focused (CF),Major Publication (MP)
Barron’s,barrons.com/,"60,500",Content Focused (CF),Major Publication (MP)
MIC,mic.com/,"60,500",Content Focused (CF),Major Publication (MP)
This Old House,thisoldhouse.com/,"60,500",Content Focused (CF),Major Publication (MP)
Fortune,fortune.com/,"49,500",Content Focused (CF),Major Publication (MP)
Harvard Business Review,hbr.org/,"49,500",Content Focused (CF),Major Publication (MP)
Mercury News,mercurynews.com/,"49,500",Content Focused (CF),Major Publication (MP)
Elle,elle.com/,"49,500",Content Focused (CF),Major Publication (MP)
Bustle,bustle.com/,"49,500",Content Focused (CF),Major Publication (MP)
Motor Trend,motortrend.com/,"49,500",Content Focused (CF),Major Publication (MP)
Mandatory,mandatory.com,"49,500",Content Focused (CF),Major Publication (MP)
Nylon,nylon.com/,"49,500",Content Focused (CF),Major Publication (MP)
Flipboard,flipboard.com/,"40,500",Content Focused (CF),Major Publication (MP)
The Week,theweek.com/,"40,500",Content Focused (CF),Major Publication (MP)
San Francisco Chronicle,sfchronicle.com/,"40,500",Content Focused (CF),Major Publication (MP)
Parents,parents.com/,"40,500",Content Focused (CF),Major Publication (MP)
Parade,parade.com,"40,500",Content Focused (CF),Major Publication (MP)
Financial Planning,financial-planning.com/,"40,500",Content Focused (CF),Major Publication (MP)
The Week,https://theweek.com/,"40,500",Content Focused (CF),Major Publication (MP)
Fool,fool.com/,"33,100",Content Focused (CF),Major Publication (MP)
Popular Mechanics,popularmechanics.com/,"33,100",Content Focused (CF),Major Publication (MP)
Glamour,glamour.com/,"33,100",Content Focused (CF),Major Publication (MP)
KQED,kqed.org/,"33,100",Content Focused (CF),Major Publication (MP)
Thrillist,thrillist.com/,"33,100",Content Focused (CF),Major Publication (MP)
CIO,cio.com/,"33,100",Content Focused (CF),Major Publication (MP)
Runners World,runnersworld.com/,"33,100",Content Focused (CF),Major Publication (MP)
Architectural Digest,architecturaldigest.com/,"33,100",Content Focused (CF),Major Publication (MP)
Fee,fee.org/,"33,100",Content Focused (CF),Major Publication (MP)
The Nest,thenest.com/,"33,100",Content Focused (CF),Major Publication (MP)
New Republic,https://newrepublic.com/,"33,100",Content Focused (CF),Major Publication (MP)
Mashable,mashable.com/,"27,100",Content Focused (CF),Major Publication (MP)
Fast Company,fastcompany.com/,"27,100",Content Focused (CF),Major Publication (MP)
NY Mag,nymag.com/,"27,100",Content Focused (CF),Major Publication (MP)
Mental Floss,mentalfloss.com/,"27,100",Content Focused (CF),Major Publication (MP)
Food and Wine,foodandwine.com/,"27,100",Content Focused (CF),Major Publication (MP)
InStyle,instyle.com/,"27,100",Content Focused (CF),Major Publication (MP)
Southern Living,southernliving.com/,"27,100",Content Focused (CF),Major Publication (MP)
Redbook,redbookmag.com/,"27,100",Content Focused (CF),Major Publication (MP)
Wealth Management,wealthmanagement.com/,"27,100",Content Focused (CF),Major Publication (MP)
Worth,worth.com/,"27,100",Content Focused (CF),Major Publication (MP)
New England Journal of Medicine,nejm.org/,"22,200",Content Focused (CF),Major Publication (MP)
Real Simple,realsimple.com/,"22,200",Content Focused (CF),Major Publication (MP)
Christian Post,christianpost.com/,"22,200",Content Focused (CF),Major Publication (MP)
Teen Vogue,teenvogue.com/,"22,200",Content Focused (CF),Major Publication (MP)
