Classifier-1,Classifier-2,Classifier-3,Classifier-4,State,City,Car Brand,Car Brand Specific,Keyword,Keyword Intent,Position 1,Position 2,Position 3,Search Volume,Search Volume (Long Tail),CPC,Organic Search Share (OSS),Search Impression Shares (SIS),Search Click Distribution (SCD),SCD Adjusted SV,Clicks Per Search (CPS),SERP Features,Trend
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,car insurance,Commercial,0.31,0.24,0.16,"301,000","903,000",$53.87,0.69,1.17,0.68,"495,714",0.98,"People also ask, Sitelinks","0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,car insurance quotes,Commercial,0.3,0.25,0.2,"301,000","903,000",$79.69,0.56,1.1,0.84,"467,248",1.09,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom","0.37,0.67,0.82,0.82,0.55,0.67,0.82,0.82,0.67,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Travel Insurance,-,-,-,-,travel insurance,Commercial,0.3,0.22,0.16,"246,000","738,000",$8.26,0.79,1.19,0.73,"506,469",1.08,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnails, Adwords bottom","0.67,0.67,0.82,0.82,0.82,1.00,1.00,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,cheap car insurance,Commercial,0.31,0.23,0.16,"165,000","495,000",$37.50,0.56,1.12,0.83,"257,685",0.99,"Adwords top, Sitelinks, People also ask, Videos, Adwords bottom","1.00,1.00,0.82,1.00,0.82,1.00,1.00,1.00,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,life insurance,Commercial,0.3,0.2,0.12,"165,000","495,000",$33.81,0.5,1.53,0.83,"314,300",0.82,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.55,0.67,0.67,0.67,0.55,0.67,0.67,0.67,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Home Insurance,Renters Insurance,-,-,-,-,renters insurance,Commercial,0.3,0.22,0.13,"165,000","495,000",$22.70,0.72,1.25,0.74,"329,670",1.02,"Sitelinks, People also ask, Image pack, Videos","0.67,0.82,0.82,0.82,0.82,1.00,1.00,0.82,0.82,0.67,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,dental insurance,Commercial,0.3,0.25,0.15,"135,000","405,000",$5.24,0.77,1.4,0.84,"366,736",1.2,"Sitelinks, People also ask, Top stories, Thumbnails","0.82,0.82,0.82,0.82,0.67,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,insurance quotes,Commercial,0.31,0.2,0.09,"135,000","405,000",$41.51,0.58,1.18,0.82,"227,289",0.88,"Adwords top, Sitelinks, People also ask, Adwords bottom","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,auto insurance quotes,Commercial,0.31,0.22,0.12,"90,500","271,500",$61.66,0.48,1.27,0.72,"119,165",1.13,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom","0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,cheap auto insurance,Commercial,0.29,0.19,0.11,"90,500","271,500",$37.32,0.58,1.06,0.64,"106,828",1.04,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.82"
